meter,energy_kwh,flow_rate_l_per_h,inlet_temp_degc,outlet_temp_degc,site,timestamp
MCCBA1 PV SUPPLY,18,,,,TEST BUILDING,08/04/2020 13:00
MCCBA1 PV SUPPLY,0,,,,TEST BUILDING,08/04/2020 03:30
MCCBA1 PV SUPPLY,0,,,,TEST BUILDING,08/04/2020 04:00
MCCBA1 PV SUPPLY,0,,,,TEST BUILDING,08/04/2020 00:00
MCCBA1 PV SUPPLY,0,,,,TEST BUILDING,08/04/2020 01:00
MCCBA1 PV SUPPLY,0,,,,TEST BUILDING,08/04/2020 03:00
MCCBA1 PV SUPPLY,0,,,,TEST BUILDING,08/04/2020 04:30
MCCBA1 PV SUPPLY,0,,,,TEST BUILDING,08/04/2020 00:30
MCCBA1 PV SUPPLY,17,,,,TEST BUILDING,08/04/2020 14:30
MCCBA1 PV SUPPLY,0,,,,TEST BUILDING,08/04/2020 02:00
MCCBA1 PV SUPPLY,0,,,,TEST BUILDING,08/04/2020 02:30
MCCBA1 PV SUPPLY,16,,,,TEST BUILDING,08/04/2020 14:00
MCCBA1 PV SUPPLY,4,,,,TEST BUILDING,08/04/2020 15:30
MCCBA1 PV SUPPLY,11,,,,TEST BUILDING,08/04/2020 15:00
MCCBA1 PV SUPPLY,18,,,,TEST BUILDING,08/04/2020 13:30
MCCBA1 PV SUPPLY,2,,,,TEST BUILDING,08/04/2020 17:30
MCCBA1 PV SUPPLY,2,,,,TEST BUILDING,08/04/2020 16:00
MCCBA1 PV SUPPLY,2,,,,TEST BUILDING,08/04/2020 16:30
MCCBA1 PV SUPPLY,2,,,,TEST BUILDING,08/04/2020 17:00
MCCBA1 PV SUPPLY,0,,,,TEST BUILDING,08/04/2020 18:00
MCCBA1 PV SUPPLY,7,,,,TEST BUILDING,08/04/2020 09:30
MCCBA1 PV SUPPLY,4,,,,TEST BUILDING,08/04/2020 08:30
MCCBA1 PV SUPPLY,6,,,,TEST BUILDING,08/04/2020 09:00
MCCBA1 PV SUPPLY,0,,,,TEST BUILDING,08/04/2020 18:30
MCCBA1 PV SUPPLY,3,,,,TEST BUILDING,08/04/2020 08:00
